service_id,date,exception_type
CI4725L_CI408_,20260717,1
CI4725L_CI409_,20260717,1
CI4725L_CI410_,20260717,1
CI4725L_CI4E1_,20260717,1
MIC023L_MIC01_,20260717,1
MIC023L_MIC02_,20260717,1
MIC023L_MIC03_,20260717,1
MIC023L_MIC04_,20260717,1
MIC023L_MIC05_,20260717,1
TUR003L_TURE1_,20260717,1
TUR003L_TURE2_,20260717,1
TUR003L_TURE3_,20260717,1
TUR003L_TURE4_,20260717,1
021724S_02101_,20260718,1
021724S_02102_,20260718,1
021724S_02103_,20260718,1
021724S_02104_,20260718,1
021724S_02105_,20260718,1
021724S_02106_,20260718,1
021724S_02107_,20260718,1
021724S_021E1_,20260718,1
022781S_02201_,20260718,1
022781S_02202_,20260718,1
022781S_02203_,20260718,1
022781S_02204_,20260718,1
022781S_02205_,20260718,1
022781S_022E1_,20260718,1
023724S_02301_,20260718,1
023724S_02302_,20260718,1
023724S_02303_,20260718,1
023724S_02304_,20260718,1
023724S_02305_,20260718,1
023724S_02306_,20260718,1
023724S_02307_,20260718,1
023724S_02308_,20260718,1
025718S_02501_,20260718,1
025718S_02502_,20260718,1
025718S_02503_,20260718,1
028002S_02801_,20260718,1
028002S_02802_,20260718,1
028002S_02803_,20260718,1
029725S_02901_,20260718,1
029725S_02902_,20260718,1
029725S_02903_,20260718,1
029725S_029E1_,20260718,1
030725S_03001_,20260718,1
030725S_03002_,20260718,1
030725S_03003_,20260718,1
030725S_030E1_,20260718,1
031724S_03101_,20260718,1
031724S_03102_,20260718,1
031724S_03103_,20260718,1
031724S_03104_,20260718,1
031724S_03105_,20260718,1
031724S_031E1_,20260718,1
032725S_03201_,20260718,1
032725S_03202_,20260718,1
032725S_03203_,20260718,1
032725S_03204_,20260718,1
032725S_03205_,20260718,1
032725S_03206_,20260718,1
032725S_03207_,20260718,1
032725S_032E1_,20260718,1
033725S_03301_,20260718,1
033725S_03302_,20260718,1
033725S_03303_,20260718,1
033725S_03304_,20260718,1
033725S_03305_,20260718,1
033725S_03306_,20260718,1
033725S_03307_,20260718,1
033725S_033E1_,20260718,1
033725S_033E2_,20260718,1
034726S_03401_,20260718,1
034726S_03402_,20260718,1
034726S_03403_,20260718,1
034726S_03404_,20260718,1
034726S_03405_,20260718,1
034726S_03406_,20260718,1
034726S_03407_,20260718,1
034726S_03408_,20260718,1
034726S_034E1_,20260718,1
035781S_03501_,20260718,1
035781S_03502_,20260718,1
035781S_03503_,20260718,1
035781S_03504_,20260718,1
035781S_03505_,20260718,1
035781S_03506_,20260718,1
035781S_035E1_,20260718,1
035781S_035E2_,20260718,1
036725S_03601_,20260718,1
036725S_03602_,20260718,1
036725S_03603_,20260718,1
036725S_03604_,20260718,1
038725S_03801_,20260718,1
038725S_03802_,20260718,1
038725S_03803_,20260718,1
038725S_03804_,20260718,1
038725S_03805_,20260718,1
038725S_03806_,20260718,1
038725S_03807_,20260718,1
038725S_03808_,20260718,1
038725S_038E1_,20260718,1
039724S_03901_,20260718,1
039724S_03902_,20260718,1
039724S_03903_,20260718,1
039724S_03904_,20260718,1
039724S_03905_,20260718,1
039724S_03906_,20260718,1
039724S_039E1_,20260718,1
040724S_04001_,20260718,1
040724S_04002_,20260718,1
040724S_04003_,20260718,1
040724S_04004_,20260718,1
041781S_04101_,20260718,1
041781S_04102_,20260718,1
041781S_04103_,20260718,1
042724S_04201_,20260718,1
042724S_04202_,20260718,1
042724S_04203_,20260718,1
042724S_04204_,20260718,1
042724S_04205_,20260718,1
042724S_042E1_,20260718,1
043007S_04301_,20260718,1
044724S_04401_,20260718,1
044724S_04402_,20260718,1
044724S_04403_,20260718,1
050003S_05001_,20260718,1
050003S_05002_,20260718,1
050003S_05003_,20260718,1
051007S_05101_,20260718,1
051007S_05102_,20260718,1
051007S_05103_,20260718,1
051007S_05104_,20260718,1
052724S_05201_,20260718,1
052724S_05202_,20260718,1
052724S_05203_,20260718,1
052724S_05204_,20260718,1
053724S_05301_,20260718,1
053724S_05302_,20260718,1
053724S_05303_,20260718,1
053724S_053E1_,20260718,1
054700S_05401_,20260718,1
055700S_05501_,20260718,1
056003S_05601_,20260718,1
057700S_05701_,20260718,1
058003S_05801_,20260718,1
059005S_05901_,20260718,1
059005S_059E1_,20260718,1
060724S_06001_,20260718,1
060724S_06002_,20260718,1
060724S_06003_,20260718,1
0C1003S_0C1E1_,20260718,1
0C4008S_0C401_,20260718,1
0C4008S_0C402_,20260718,1
0C4008S_0C4E1_,20260718,1
0C4008S_0C4E2_,20260718,1
CI1724S_CI101_,20260718,1
CI1724S_CI102_,20260718,1
CI1724S_CI103_,20260718,1
CI1724S_CI104_,20260718,1
CI1724S_CI105_,20260718,1
CI1724S_CI106_,20260718,1
CI2724S_CI201_,20260718,1
CI2724S_CI202_,20260718,1
CI2724S_CI203_,20260718,1
CI2724S_CI204_,20260718,1
CI2724S_CI205_,20260718,1
CI2724S_CI206_,20260718,1
CI3725S_CI301_,20260718,1
